,Date,Close,High,Low,Open,company
0,2020-10-16,13.362593650817871,13.427057927201677,12.738315996779425,12.743406303537729,tata
0,2020-10-16,55.25389862060547,59.02663755688055,45.79817719785452,55.54043861446759,reliance
0,2020-10-16,57609.57421875,58342.77159427261,57398.42542807168,58055.572056002464,mrf
1,2020-10-19,13.411787986755371,13.571250595413176,13.284557512423373,13.45589491358195,tata
1,2020-10-19,57.35517120361328,59.169907493179394,55.253898563986034,55.253898563986034,reliance
1,2020-10-19,59493.70703125,59626.47339202011,57643.48357963566,57787.753414689185,mrf
2,2020-10-20,13.299825668334961,13.483037859597083,13.22348660818143,13.343932594584427,tata
2,2020-10-20,55.34941101074219,58.405807130341486,55.11063012082829,56.25677912111643,reliance
2,2020-10-20,59435.8125,59723.70539097998,58986.59206936391,58986.59206936391,mrf
3,2020-10-21,13.703571319580078,13.835890817757882,13.38803961119204,13.418574979560413,tata
3,2020-10-21,56.16126251220703,57.45068145639337,55.92248163108072,55.92248163108072,reliance
3,2020-10-21,60494.32421875,61079.18874664679,59540.310484718284,59641.44810244812,mrf
4,2020-10-22,13.908836364746094,14.024192057136553,13.574644081162466,13.666250186377427,tata
4,2020-10-22,55.44492721557617,58.02376180215107,54.059997192831545,58.02376180215107,reliance
4,2020-10-22,61733.45703125,61857.54736386473,60183.8190645908,60830.30653563737,mrf
5,2020-10-23,56.400047302246094,58.21478358198265,55.58819370755241,58.21478358198265,reliance
5,2020-10-23,63063.96875,63445.121104283804,61767.67426806216,61773.27494996787,mrf
5,2020-10-23,14.363472938537598,14.44999002889735,13.978389248229758,13.978389248229758,tata
6,2020-10-26,62745.6796875,63759.78263978495,62335.03275212679,62963.176697638904,mrf
6,2020-10-26,13.8460693359375,14.392311102982775,13.72053433198587,14.392311102982775,tata
6,2020-10-26,56.638832092285156,58.16703212853438,54.15551204320311,58.16703212853438,reliance
7,2020-10-27,67995.3671875,69020.22997480865,63137.14373208726,63706.736163886046,mrf
7,2020-10-27,13.94446086883545,14.137851105692251,13.689999894628558,13.815534907101211,tata
7,2020-10-27,55.97024154663086,57.116390596234055,54.442045242831526,56.63882879585834,reliance
8,2020-10-28,66196.4140625,67573.81778055978,64789.90693819003,67573.81778055978,mrf
8,2020-10-28,13.649285316467285,14.181956806033778,13.588214584417784,13.94615642727528,tata
8,2020-10-28,55.39716720581055,58.07151248014822,55.01511631940205,57.641706143815476,reliance
9,2020-10-29,66647.1015625,68318.59877996355,64601.64464528741,65937.70524092736,mrf
9,2020-10-29,13.613662719726562,13.742589981395263,13.420272474351261,13.54071718547058,tata
9,2020-10-29,54.346534729003906,56.30453739585219,54.155509278785374,55.01511833950765,reliance
10,2020-10-30,64704.765625,67796.85267480613,64126.69480662367,66830.14263904745,mrf
10,2020-10-30,53.53467559814453,56.256779970359716,53.295894704626036,54.442043722216255,reliance
10,2020-10-30,13.922409057617188,14.012318401260993,13.410094828620636,13.67643061578959,tata
11,2020-11-02,54.25102233886719,55.77922235786098,52.91385142119362,53.2958986933114,reliance
11,2020-11-02,65625.4609375,66001.2100632625,64289.20669173855,65392.4013531663,mrf
11,2020-11-02,13.666250228881836,13.991961257633193,13.532233961257326,13.978389695132003,tata
12,2020-11-03,55.39716720581055,55.63594809893904,52.054234702011634,53.486920060782595,reliance
12,2020-11-03,67133.53125,67425.09209746835,66092.80357327634,66334.3920782446,mrf
12,2020-11-03,13.801962852478027,13.983478289170979,13.730714092861446,13.842676244508162,tata
13,2020-11-04,55.39716720581055,55.49267810565903,51.910964708731626,54.91960541955356,reliance
13,2020-11-04,67874.3046875,68614.94263289504,67158.95889660464,67158.95889660464,mrf
13,2020-11-04,13.703571319580078,14.08017376470486,13.623840008048472,13.846070136717627,tata
14,2020-11-05,55.82697677612305,56.92536676203797,55.44492586758287,56.82985585665667,reliance
14,2020-11-05,67946.578125,69160.27589683744,67685.39892897202,68801.3365437958,mrf
14,2020-11-05,14.434721946716309,14.517846795119166,13.869819579177513,13.929193546425683,tata
15,2020-11-06,67934.765625,69275.7373791741,67619.65569931029,68912.38258851573,mrf
15,2020-11-06,14.463562965393066,14.680702802082322,14.338027945724484,14.426241813289192,tata
15,2020-11-06,57.880489349365234,58.2625402510373,56.352293029691815,57.30741664036456,reliance
16,2020-11-09,14.846949577331543,14.9215918797999,14.50427602321456,14.52123982988769,tata
16,2020-11-09,55.49267578125,61.98751871710285,55.015114014996534,61.98751871710285,reliance
16,2020-11-09,69342.8203125,69628.28461637713,68017.66667740064,69297.10853107809,mrf
17,2020-11-10,14.991144180297852,15.369442091737934,14.780788849816629,14.9283766760688,tata
17,2020-11-10,57.25965881347656,60.17278497649427,53.534675428957335,60.17278497649427,reliance
17,2020-11-10,68793.1171875,70080.53803025103,67731.01726326696,69608.4617729744,mrf
18,2020-11-11,16.09889793395996,16.18880727132385,14.913110153580032,14.996233709637437,tata
18,2020-11-11,56.734344482421875,57.25966174469278,54.48980178943534,57.25966174469278,reliance
18,2020-11-11,67995.171875,69880.14595252412,67497.16825242416,69090.87590061696,mrf
19,2020-11-12,56.734344482421875,56.734344482421875,53.916729074868435,54.20326543215189,reliance
19,2020-11-12,68792.9609375,68972.87992374823,68218.31397987204,68218.31397987204,mrf
19,2020-11-12,16.0530948638916,16.278717247731407,15.827473774307295,16.044613607617137,tata
20,2020-11-13,71351.640625,71887.0285659816,69018.8368300105,69208.86492244068,mrf
20,2020-11-13,16.50603485107422,16.556926266710217,15.79015114053159,16.01068319679834,tata
20,2020-11-13,54.96735763549805,57.49843641114811,53.486916913903904,54.44204043022362,reliance
21,2020-11-14,71234.0625,71887.0416257327,70460.10708880726,71391.26892486558,mrf
21,2020-11-14,16.696033477783203,16.933530661078187,16.52300057373224,16.675677426868695,tata
21,2020-11-14,57.737220764160156,59.02663613137046,54.44204370589158,54.44204370589158,reliance
22,2020-11-17,73574.03125,73993.4548171308,71246.47988798223,71246.47988798223,mrf
22,2020-11-17,17.73762321472168,18.009049248272525,17.031918892553126,17.12352498473825,tata
22,2020-11-17,55.73146057128906,57.97600321613259,55.20614332028565,56.35229236834326,reliance
23,2020-11-18,74409.859375,74779.87568926565,71755.19141191339,73574.65003519936,mrf
23,2020-11-18,17.540842056274414,17.77494566848992,17.31013068731333,17.5883412273684,tata
23,2020-11-18,63.22917556762695,64.661860880673,54.919603666765546,57.2119016250421,reliance
24,2020-11-19,17.75798225402832,18.173601304491363,17.303345286877406,17.391557850240105,tata
24,2020-11-19,60.17279052734375,63.85001515772282,59.31317777669294,63.85001515772282,reliance
24,2020-11-19,76246.0625,76649.536973865,73448.25059387693,73817.86398206592,mrf
25,2020-11-20,58.931129455566406,61.08015765063036,57.59395489901248,59.07439581579948,reliance
25,2020-11-20,78440.296875,78869.0025635398,76079.3788581809,76079.3788581809,mrf
